,wikidata,type,osmid
830,Q16502526,,
831,Q16502775,,
832,Q16502319,,
835,Q16498627,,
836,Q16502850,,
837,Q16502671,,
838,Q16501868,,
839,Q16503061,,
840,Q16501632,,
841,Q16502530,,
843,Q16502147,,
847,Q16502502,,
848,Q16502260,,
850,Q16502346,,
851,Q16502639,,
852,Q16502022,,
854,Q16502110,,
857,Q16498913,,
858,Q16502106,,
859,Q16502074,,
861,Q16502575,,
862,Q16502670,,
863,Q16502094,,
865,Q16501888,,
867,Q16502949,,
869,Q16502536,,
870,Q16498637,,
871,Q16502020,,
872,Q16502092,,
873,Q16502776,,
877,Q16502226,,
882,Q16502679,,
884,Q16503141,,
887,Q16502104,,
888,Q16502427,,
889,Q16502781,,
891,Q16502901,,
892,Q16502505,,
893,Q16502108,,
895,Q16501804,,
897,Q16503505,,
898,Q16504014,,
899,Q16503517,,
900,Q16503694,,
902,Q16503724,,
903,Q16503589,,
905,Q16503604,,
909,Q16503565,,
910,Q16503708,,
914,Q16503855,,
916,Q16505262,,
920,Q16503729,,
922,Q16505322,,
923,Q16503816,,
925,Q16503952,,
926,Q16504131,,
929,Q16503661,,
930,Q16503274,,
931,Q16503607,,
932,Q16504035,,
933,Q16503842,,
934,Q16503179,,
935,Q16503377,,
936,Q16504039,,
938,Q16503181,,
939,Q16503344,,
945,Q16505325,,
947,Q16503902,,
948,Q16503937,,
949,Q16503388,,
952,Q16503920,,
955,Q16505320,,
956,Q16503960,,
958,Q16505323,,
959,Q16503935,,
960,Q16503616,,
962,Q16505256,,
963,Q16503471,,
964,Q16503845,,
967,Q16503532,,
968,Q16503659,,
971,Q16504006,,
974,Q16503644,,
978,Q16505213,,
979,Q16503817,,
980,Q16504091,,
981,Q16503575,,
982,Q16503364,,
988,Q16503511,,
991,Q16503180,,
993,Q16505258,,
995,Q16503904,,
996,Q16504017,,
997,Q16507295,,
998,Q16506907,,
999,Q16506944,,
1000,Q17517479,,
1001,Q16507383,,
1004,Q16507329,,
1005,Q16507173,,
1006,Q17463641,,
1007,Q17518027,,
1010,Q16506979,,
1011,Q16924621,,
