,wikidata,type,osmid
2310,Q1658368,,
2313,Q1657897,,
2314,Q1658077,,
2315,Q1657929,,
2318,Q1658388,,
2320,Q1658195,,
2323,Q1658236,,
2325,Q1657917,,
2327,Q1657597,,
2330,Q1658177,,
2332,Q1658220,,
2333,Q1658148,,
2336,Q1658500,,
2339,Q1658244,,
2340,Q1658368,,
2341,Q1658491,,
2344,Q1658052,,
2345,Q1657588,,
2350,Q1657792,,
2354,Q1657683,,
2361,Q1657588,,
2362,Q1657797,,
2363,Q1657597,,
2371,Q1658160,,
2374,Q1658104,,
2376,Q1658016,,
2378,Q1657683,,
2387,Q1433025,,
2389,Q1433247,,
2394,Q1655859,,
2395,Q1656502,,
2402,Q1657187,,
2410,Q1657153,,
2414,Q1657492,,
2415,Q1656845,,
2419,Q1657064,,
2420,Q1656702,,
2427,Q1656817,,
2432,Q1657505,,
2439,Q1657120,,
2440,Q1656806,,
2456,Q1656999,,
2458,Q1656679,,
2459,Q1657064,,
2464,Q1656864,,
2466,Q1656652,,
2471,Q1656727,,
2479,Q1656669,,
2481,Q1657019,,
2482,Q1656797,,
2483,Q1656872,,
2486,Q1656642,,
2488,Q1658142,,
2490,Q1658227,,
2491,Q1658012,,
2494,Q2213576,,
2498,Q2179954,,
2503,Q2112559,,
2512,Q2112559,,
2517,Q2161272,,
2519,Q2095401,,
2526,Q2112559,,
2556,Q1433329,,
2571,Q1433166,,
2573,Q1432959,,
2584,Q1433034,,
2585,Q1433107,,
2588,Q1433267,,
2589,Q1433155,,
2594,Q1433143,,
2604,Q1433133,,
2617,Q1433133,,
2622,Q1432981,,
2625,Q1433267,,
2630,Q2071056,,
2631,Q2123972,,
2634,Q2231684,,
2635,Q2107478,,
2637,Q2112869,,
2638,Q2112869,,
2646,Q2067431,,
2661,Q1655383,,
2667,Q1655478,,
2669,Q1655271,,
2682,Q1655770,,
2683,Q1655426,,
2687,Q1655298,,
2691,Q1655246,,
2698,Q1655374,,
2702,Q1655144,,
2711,Q1655506,,
2715,Q1655459,,
2718,Q1655363,,
2719,Q1655327,,
2723,Q1655770,,
2724,Q1655281,,
2729,Q1655759,,
2735,Q1655253,,
2738,Q1655557,,
2764,Q1707744,,
2765,Q1708361,,
2790,Q1708719,,
2792,Q1708382,,
2793,Q1708096,,
2794,Q1658500,,
2809,Q1708016,,
2814,Q1708725,,
2831,Q1707747,,
2835,Q1708094,,
2841,Q1706607,,
2843,Q1706607,,
2857,Q1961499,,
2867,Q1934556,,
2868,Q1932879,,
2874,Q1932904,,
2875,Q1937357,,
2876,Q1957542,,
2882,Q1936925,,
2884,Q1961472,,
2893,Q1936290,,
2895,Q1946625,,
2898,Q1961318,,
2900,Q1961483,,
2910,Q1961870,,
2913,Q1936943,,
2918,Q1960988,,
2921,Q1961528,,
2929,Q1935007,,
2931,Q1961510,,
2932,Q1961925,,
2937,Q1937403,,
2938,Q1961172,,
2941,Q1937403,,
2949,Q1431875,,
2964,Q1431863,,
2967,Q1432022,,
2970,Q1431734,,
2974,Q1431675,,
2981,Q1432040,,
2989,Q1431949,,
2991,Q1431644,,
2994,Q1431890,,
3001,Q1432004,,
3010,Q1431754,,
3014,Q1431914,,
3020,Q1432008,,
3033,Q1977854,,
3056,Q1964699,,
3060,Q1996169,,
3067,Q2016903,,
3070,Q2022991,,
3087,Q1987608,,
3094,Q2063380,,
3100,Q1981182,,
3106,Q2034869,,
3113,Q2031102,,
3115,Q2058359,,
3130,Q1708831,,
3132,Q1708937,,
3133,Q1801326,,
3146,Q1709039,,
3149,Q1708846,,
3150,Q1708958,,
3151,Q3016266,,
3159,Q3016508,,
3163,Q3015106,,
3165,Q3016536,,
3167,Q3016517,,
3168,Q3016347,,
3169,Q3016552,,
3170,Q3015765,,
3171,Q3016484,,
3175,Q3016489,,
3176,Q2466458,,
3182,Q2470159,,
3190,Q2495220,,
3191,Q2553839,,
3197,Q2501139,,
3206,Q2455220,,
3209,Q2449054,,
3214,Q2449054,,
3215,Q2507539,,
3223,Q2265948,,
3230,Q2264506,,
3233,Q2240815,,
3243,Q2264977,,
3246,Q2264848,,
3252,Q2264657,,
3257,Q2252956,,
3258,Q2262149,,
3259,Q2233057,,
3263,Q2233057,,
3266,Q2233195,,
3268,Q2264977,,
3273,Q2237915,,
3281,Q1836583,,
3284,Q1836596,,
3297,Q1817302,,
3299,Q1749042,,
3301,Q1756900,,
3304,Q1836233,,
3311,Q1708951,,
3313,Q1708906,,
3314,Q1709210,,
3320,Q1708925,,
3325,Q1708865,,
3326,Q1836569,,
3328,Q1708881,,
3330,Q1708980,,
3331,Q1748483,,
3339,Q2501155,,
3340,Q2446507,,
3341,Q2469695,,
3342,Q2492784,,
3355,Q2515134,,
3356,Q2446507,,
3362,Q2446044,,
3365,Q2499604,,
3367,Q2440316,,
3368,Q2444515,,
3369,Q2545156,,
3387,Q2264669,,
3393,Q2256698,,
3401,Q2233156,,
3406,Q2265589,,
3408,Q2232461,,
3409,Q2265933,,
3417,Q1433522,,
3425,Q1433747,,
3429,Q1528488,,
3430,Q1433485,,
3431,Q1444442,,
3432,Q1444418,,
3435,Q1528678,,
3438,Q1433747,,
3439,Q1528633,,
3442,Q1444477,,
3447,Q1433804,,
3451,Q1528678,,
3454,Q1528645,,
3459,Q1433818,,
3461,Q1444487,,
3468,Q1443376,,
3478,Q1444309,,
3480,Q1433916,,
3489,Q1444482,,
3490,Q1449541,,
3492,Q1433718,,
3494,Q1444533,,
3504,Q1528607,,
3505,Q3014903,,
3506,Q3015273,,
3514,Q3016396,,
3522,Q3014507,,
3535,Q3016006,,
3536,Q3016338,,
3544,Q3016415,,
3548,Q3016300,,
3550,Q3016300,,
3558,Q3016006,,
3561,Q3016500,,
3562,Q3016636,,
3564,Q3016254,,
3567,Q2985800,,
3576,Q1929029,,
3579,Q1837716,,
3582,Q1837190,,
3583,Q1927552,,
3585,Q1837470,,
3587,Q1931168,,
3589,Q1882673,,
3592,Q1837961,,
3593,Q1837059,,
3606,Q1875901,,
3615,Q1927187,,
3626,Q1837059,,
3628,Q1931349,,
3629,Q1882673,,
3630,Q1932805,,
3631,Q1920426,,
3634,Q1932866,,
3642,Q1837615,,
3645,Q1837469,,
3649,Q1837634,,
3650,Q1927801,,
3654,Q1932794,,
3657,Q1930812,,
3660,Q1927124,,
3665,Q1930822,,
3668,Q1930670,,
3682,Q1654943,,
3684,Q1654981,,
3687,Q1654717,,
3689,Q1654655,,
3691,Q1654892,,
3696,Q1654873,,
3699,Q1654717,,
3703,Q1654922,,
3705,Q1654595,,
3709,Q1654460,,
3710,Q1655007,,
3712,Q1654641,,
3714,Q1654203,,
3720,Q1654685,,
3721,Q1654258,,
3727,Q1654915,,
3749,Q1654704,,
3768,Q1654900,,
3772,Q4663917,,
3782,Q4482254,,
3784,Q4502568,,
3785,Q4459440,,
3787,Q4461114,,
3788,Q4478491,,
3792,Q4451353,,
3797,Q4460088,,
3800,Q4442369,,
3810,Q4496134,,
3811,Q4508421,,
3814,Q4533548,,
3815,Q4460623,,
3827,Q4531903,,
3836,Q4664392,,
3847,Q4569221,,
3848,Q4466060,,
3849,Q4663626,,
3850,Q4497328,,
3851,Q4479285,,
3855,Q4463427,,
3860,Q4459128,,
3861,Q4428354,,
3865,Q4663917,,
3871,Q2279248,,
3876,Q2383453,,
3878,Q2359047,,
3887,Q2393281,,
3890,Q2298657,,
3909,Q2374029,,
3910,Q2374459,,
3913,Q2291619,,
3917,Q2393071,,
3918,Q2312453,,
3923,Q2339694,,
3931,Q2381990,,
3935,Q2339694,,
3938,Q2308399,,
3941,Q2279248,,
3943,Q2334252,,
3954,Q2963647,,
3958,Q2903386,,
3961,Q2902785,,
3964,Q2903313,,
3968,Q2915191,,
3972,Q2903337,,
3973,Q2902722,,
3975,Q2902958,,
3978,Q2919849,,
3980,Q2903205,,
3989,Q2902713,,
3994,Q2903205,,
3996,Q2915191,,
3999,Q2983995,,
4011,Q2902825,,
4013,Q2903307,,
4015,Q2902722,,
4016,Q2984444,,
4017,Q2902825,,
4018,Q2918879,,
4019,Q2903329,,
4021,Q2902692,,
4023,Q2903518,,
4026,Q2903017,,
4028,Q2903072,,
4029,Q2902801,,
4030,Q2932134,,
4037,Q2903165,,
4039,Q2903017,,
4041,Q2903059,,
4042,Q2902947,,
4043,Q2902769,,
4047,Q2903486,,
4055,Q3207021,,
4056,Q3206761,,
4059,Q3207322,,
4066,Q3234734,,
4070,Q3206675,,
4075,Q3207371,,
4079,Q3207560,,
4082,Q3234818,,
4084,Q3207313,,
4085,Q3188822,,
4089,Q3206684,,
4094,Q3207300,,
4095,Q3207075,,
4096,Q3207359,,
4097,Q3206848,,
4101,Q3206617,,
4103,Q3206969,,
4108,Q3207377,,
4109,Q3206610,,
4121,Q3235708,,
4122,Q3234757,,
4125,Q3206848,,
4127,Q3207111,,
4128,Q3207350,,
4132,Q3206964,,
4134,Q3235075,,
4142,Q3238282,,
4145,Q3267344,,
4150,Q3274103,,
4160,Q3273957,,
4161,Q3274097,,
4164,Q3274140,,
