,wikidata,type,osmid
6346,Q18186687,relation,4040906
6351,Q18186507,relation,2916972
6360,Q18186788,relation,15467417
6362,Q18188247,relation,15267499
6365,Q18188343,relation,4039653
6375,Q18186640,way,23174638
6377,Q18187936,relation,4123068
6381,Q18186603,relation,2669451
6382,Q18186758,relation,15518634
6389,Q18187777,relation,2681153
6391,Q18186897,relation,15592126
6393,Q18186550,relation,2935930
6400,Q18190517,way,23024848
6402,Q18190464,way,13865087
6403,Q18190622,relation,108315
6407,Q18190533,way,23024855
6409,Q18190484,way,23174457
6417,Q18189072,way,23640776
6420,Q18189363,relation,8339102
6424,Q18190613,way,175186235
6428,Q18190565,way,55432868
6430,Q18190609,way,16405117
6432,Q18188530,relation,3860271
6433,Q18188608,way,24499249
6439,Q18190542,way,23024849
6440,Q18189212,relation,8339101
6444,Q18190761,relation,2387660
6448,Q18189042,relation,11890435
6450,Q18190308,relation,3731787
6453,Q18190530,way,23024856
6455,Q18190161,way,23640208
6464,Q18188832,relation,3834392
6467,Q18190502,way,66474575
6469,Q18189511,way,29399237
6473,Q18190133,way,23640052
6475,Q18189803,relation,15729702
6478,Q18190392,relation,3220019
6479,Q18190718,relation,7239547
6481,Q18190849,relation,254508
6484,Q18189533,way,23155895
6491,Q18190499,way,23024861
6493,Q18190832,relation,4056
6497,Q18193127,way,36250035
6499,Q18193767,relation,3674184
6500,Q18194970,relation,56221
6501,Q18194313,relation,391023
6504,Q18193982,way,50586570
6505,Q18194451,way,48633649
6506,Q18196039,relation,13958889
6507,Q18193066,way,37716404
6508,Q18194303,relation,3430910
6509,Q18192856,relation,148620
6511,Q18194847,relation,7470885
6512,Q18194871,relation,6984208
6513,Q18194131,relation,2420144
6515,Q18192991,way,37716381
6516,Q18194568,relation,10916889
6517,Q18194135,way,55501774
6518,Q18193153,relation,13155662
6520,Q18193855,way,61129983
6522,Q18193120,relation,6738560
6523,Q18192823,relation,155968
6527,Q18194383,relation,391024
6528,Q18194541,way,51275351
6529,Q18195043,way,11645490
6531,Q18192842,relation,158498
6532,Q18194630,relation,13138581
6533,Q18194133,relation,3429764
6534,Q18192946,way,26602203
6535,Q18190874,relation,254473
6536,Q18192983,relation,173254
6537,Q18195236,relation,2384072
6538,Q18196098,way,52332993
6539,Q18194657,relation,4039685
6541,Q18194323,relation,556695
6542,Q18194315,way,37716377
6543,Q18194435,way,38843226
6544,Q18194839,relation,8350037
6548,Q18193012,way,35785847
6549,Q18193094,way,35133225
6550,Q18194322,way,38843223
6551,Q18194592,relation,14633884
6552,Q18190875,relation,253796
6553,Q18192868,relation,3119544
6555,Q18192814,relation,8222181
6556,Q18196269,relation,2383879
6557,Q18194399,way,181438364
6558,Q18195206,relation,2387728
6559,Q18196546,relation,1165368
6562,Q18193049,way,35785840
6563,Q18194381,way,94711598
6565,Q18196209,way,265136014
6566,Q18193051,way,37716468
6568,Q18196316,relation,3585617
6569,Q18193152,relation,3132513
6570,Q18194046,relation,4561206
6571,Q18192910,way,24418865
6572,Q18194385,relation,3123552
6573,Q18194060,relation,1992845
6574,Q18194438,way,55501807
6575,Q18196049,relation,8727243
