,type,id,attributes.name,attributes.location.north,attributes.location.east,attributes.address,attributes.isPublished,attributes.created,attributes.changed,relationships.image.data.type,relationships.image.data.id,relationships.image.links.self,relationships.image.links.related,relationships.serviceType.data.type,relationships.serviceType.data.id,relationships.serviceType.links.self,relationships.serviceType.links.related,relationships.regions.data,links.self
33,serviceunits,13632,Hökarängsbadets utegym,6570164,156231,,True,2019-10-21,2022-03-21,files,d3bc42bb-df0d-4d5b-a31a-d9f747bd9a5c,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13632/relationships/image,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13632/image,servicetypes,122,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13632/relationships/servicetype,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13632/servicetype,"[{'type': 'regions', 'id': '3'}]",https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13632
34,serviceunits,14745,Johan skytteskolans utegym,6573563,149012,Västerängsvägen 21,True,2020-06-01,2021-09-24,files,f80a0355-8fc4-4ffd-9076-e437a0ca763f,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14745/relationships/image,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14745/image,servicetypes,122,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14745/relationships/servicetype,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14745/servicetype,"[{'type': 'regions', 'id': '16'}]",https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14745
35,serviceunits,15072,Judarängens utegym,6580636,144713,Färjestadsvägen,True,2021-04-09,2022-03-11,files,122d9e6f-1b5a-4f35-bf61-85f4a5f40350,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/15072/relationships/image,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/15072/image,servicetypes,122,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/15072/relationships/servicetype,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/15072/servicetype,"[{'type': 'regions', 'id': '1'}]",https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/15072
36,serviceunits,12758,Kaknäs utegym,6580057,157731,,True,2019-08-22,2019-10-03,files,90c353cc-e4e1-4c2b-8968-9b7986d1b90a,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/12758/relationships/image,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/12758/image,servicetypes,122,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/12758/relationships/servicetype,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/12758/servicetype,"[{'type': 'regions', 'id': '14'}]",https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/12758
37,serviceunits,13633,Kanaans utegym,6581529,141984,,True,2019-10-21,2022-05-10,files,b04b2a30-e86e-4d76-b7fe-144e07c256c8,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13633/relationships/image,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13633/image,servicetypes,122,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13633/relationships/servicetype,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13633/servicetype,"[{'type': 'regions', 'id': '5'}]",https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13633
38,serviceunits,15242,Krausparkens utegym,6576177,147731,"Edward Swartz plan, utmed Hägerstensvägen",True,2021-12-01,2022-02-07,files,a7986123-dc2e-42be-91cc-7b73680c0394,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/15242/relationships/image,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/15242/image,servicetypes,122,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/15242/relationships/servicetype,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/15242/servicetype,"[{'type': 'regions', 'id': '16'}]",https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/15242
39,serviceunits,13634,Kronobergsparkens utegym,6579690,152064,Kronobergsparken,True,2019-10-21,2021-04-08,files,42b402d8-c9a8-4e8f-93bd-145077a03471,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13634/relationships/image,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13634/image,servicetypes,122,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13634/relationships/servicetype,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13634/servicetype,"[{'type': 'regions', 'id': '6'}]",https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13634
40,serviceunits,13635,Kungsholms strandstigs utegym,6579875,152730,Pipersgatan 45,True,2019-10-21,2021-04-08,files,ef268ee5-58f5-4f30-9643-919242a53fab,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13635/relationships/image,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13635/image,servicetypes,122,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13635/relationships/servicetype,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13635/servicetype,"[{'type': 'regions', 'id': '6'}]",https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13635
41,serviceunits,14569,Kämpetorpsskolans utegym,6574218,149844,Kedjevägen 59 (Medaljonggatan),True,2020-02-11,2021-09-24,files,632d118e-d672-45a1-afbe-153ae85b7ee7,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14569/relationships/image,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14569/image,servicetypes,122,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14569/relationships/servicetype,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14569/servicetype,"[{'type': 'regions', 'id': '16'}]",https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14569
42,serviceunits,12759,Kärrtorps utegym,6574492,157141,,True,2019-08-22,2019-10-03,files,b6965fac-23ce-44c5-a9b6-831b691c08a5,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/12759/relationships/image,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/12759/image,servicetypes,122,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/12759/relationships/servicetype,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/12759/servicetype,"[{'type': 'regions', 'id': '9'}]",https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/12759
